<<<<<<< HEAD
﻿时间/s,0,0.5,1,1.5,2
100,2.5500,2.5500,2.5500,2.5500,2.2471
300,2.5500,2.5500,2.5500,2.5492,2.0509
600,2.5500,2.5500,2.5500,2.5353,1.8770
900,2.5500,2.5500,2.5497,2.5045,1.7547
1200,2.5500,2.5500,2.5482,2.4646,1.6586
1500,2.5500,2.5499,2.5445,2.4206,1.5787
1800,2.5500,2.5497,2.5383,2.3755,1.5102
=======
﻿时间/s,0,0.5,1,1.5,2
100,2.5500,2.5500,2.5500,2.5500,2.2471
300,2.5500,2.5500,2.5500,2.5492,2.0508
600,2.5500,2.5500,2.5500,2.5353,1.8770
900,2.5500,2.5500,2.5497,2.5045,1.7547
1200,2.5500,2.5500,2.5482,2.4646,1.6586
1500,2.5500,2.5499,2.5445,2.4206,1.5787
1800,2.5500,2.5497,2.5383,2.3755,1.5102
>>>>>>> 6a89e9705d6c45acdd2430e4aa0faa3fbdd20ae1
