time_h,time_s,r_0_cm,r_0.5_cm,r_1_cm,r_1.5_cm,r_2_cm
6,21600,1.0168930328322694,0.98806525462757844,0.90146358895324996,0.75497591155778343,0.53288300750625672
12,43200,0.45601321773639097,0.44303507768887868,0.40296571489981442,0.32965563962315153,0.16420457467669458
18,64800,0.29871706537984777,0.29143100650906478,0.26860519976278624,0.22522070173485548,0.084522050331671386
24,86400,0.23769946476418155,0.23264316167715648,0.21664051867283707,0.18548392274180944,0.06645662447484485
30,108000,0.20574326673184318,0.20176723782597913,0.18909776094021966,0.16403727498600823,0.059799127846074294
36,129600,0.18581415865648465,0.18246826523112605,0.17175599523766355,0.15033146970388522,0.056616977244142642
42,151200,0.17201463445009285,0.16908256545710687,0.15966207388740633,0.14066564397493714,0.054929733680396838
48,172800,0.16179017456880773,0.1591521055873413,0.15065289327504991,0.13340377008584794,0.053752775717712691
54,194400,0.15383284612152601,0.15141560057202821,0.14361055136795287,0.12768785165711893,0.052913130220572951
57.444391435411241,206799.80916748047,0.14999997081904878,0.14768660365424982,0.14020877652574798,0.12491434606177967,0.05273152632989709
