time_h,time_s,r_0_cm,r_0.5_cm,r_1_cm,r_1.5_cm,r_2_cm
6,21600,1.0155503854585861,0.98682856478837666,0.90055230160109634,0.75463438164513341,0.53345586047576954
12,43200,0.45475752777364847,0.44183656487786682,0.40193891924347203,0.32892195440996319,0.16394881096248454
18,64800,0.29789079721247802,0.29063709467814342,0.26790942037915544,0.22469726926557987,0.084219356858384609
24,86400,0.23709947642327281,0.23206416305571789,0.21612608283477344,0.18508653940965389,0.06626937521305637
30,108000,0.20526510576464352,0.20130454591825819,0.18868300463335244,0.16371103029604309,0.059661482170933616
36,129600,0.18540695806605598,0.18207343596084261,0.1713997018956557,0.15004725287400031,0.056482036325590498
42,151200,0.17165502345046627,0.16873345284528388,0.15934579233327584,0.14041128604237554,0.054694206385007021
48,172800,0.16145965741567245,0.15883082732796305,0.15036062058714333,0.13316673295159293,0.053580632472309431
54,194400,0.15353208783613972,0.15112304179108513,0.14334378736982006,0.12747039950643094,0.052835118153989641
57.169534359402128,205810.32369384766,0.1499999704959008,0.14768656511199876,0.14020860111427796,0.12491380390328551,0.052535810633103627
