time_s,temperature_C,moisture_kg_kg
0.000000000000000000e+00,2.800000000000000000e+01,1.963000000000000161e-02
6.000000000000000000e+01,2.852799999999999869e+01,2.001999999999999960e-02
1.200000000000000000e+02,2.919200000000000017e+01,2.052999999999999964e-02
1.800000000000000000e+02,2.968400000000000105e+01,2.100000000000000130e-02
2.400000000000000000e+02,3.003699999999999903e+01,2.151000000000000134e-02
3.000000000000000000e+02,3.083399999999999963e+01,2.190999999999999892e-02
3.600000000000000000e+02,3.129299999999999926e+01,2.232999999999999916e-02
4.200000000000000000e+02,3.182000000000000028e+01,2.278000000000000164e-02
4.800000000000000000e+02,3.212100000000000222e+01,2.324999999999999983e-02
5.400000000000000000e+02,3.272999999999999687e+01,2.376999999999999946e-02
6.000000000000000000e+02,3.320199999999999818e+01,2.427999999999999950e-02
6.600000000000000000e+02,3.387899999999999778e+01,2.464999999999999830e-02
7.200000000000000000e+02,3.426800000000000068e+01,2.505999999999999894e-02
7.800000000000000000e+02,3.480599999999999739e+01,2.552000000000000102e-02
8.400000000000000000e+02,3.514200000000000301e+01,2.612000000000000086e-02
9.000000000000000000e+02,3.552400000000000091e+01,2.659999999999999865e-02
9.600000000000000000e+02,3.609100000000000108e+01,2.687000000000000152e-02
1.020000000000000000e+03,3.635399999999999920e+01,2.732000000000000053e-02
1.080000000000000000e+03,3.706700000000000017e+01,2.792999999999999997e-02
1.140000000000000000e+03,3.741899999999999693e+01,2.826000000000000040e-02
1.200000000000000000e+03,3.788199999999999790e+01,2.891000000000000167e-02
1.260000000000000000e+03,3.813400000000000034e+01,2.920999999999999985e-02
1.320000000000000000e+03,3.876700000000000301e+01,2.961000000000000090e-02
1.380000000000000000e+03,3.912500000000000000e+01,3.029000000000000095e-02
1.440000000000000000e+03,3.945799999999999841e+01,3.050999999999999893e-02
1.500000000000000000e+03,3.959499999999999886e+01,3.098000000000000059e-02
1.560000000000000000e+03,4.006099999999999994e+01,3.137000000000000205e-02
1.620000000000000000e+03,4.023799999999999955e+01,3.178999999999999881e-02
1.680000000000000000e+03,4.062100000000000222e+01,3.219000000000000333e-02
1.740000000000000000e+03,4.116599999999999682e+01,3.262000000000000316e-02
1.800000000000000000e+03,4.151299999999999812e+01,3.307000000000000217e-02
1.860000000000000000e+03,4.191799999999999926e+01,3.345000000000000057e-02
1.920000000000000000e+03,4.195199999999999818e+01,3.402999999999999775e-02
1.980000000000000000e+03,4.226299999999999812e+01,3.447000000000000064e-02
2.040000000000000000e+03,4.258899999999999864e+01,3.475999999999999923e-02
2.100000000000000000e+03,4.274499999999999744e+01,3.513000000000000150e-02
2.160000000000000000e+03,4.298499999999999943e+01,3.558000000000000052e-02
2.220000000000000000e+03,4.339300000000000068e+01,3.608999999999999708e-02
2.280000000000000000e+03,4.353399999999999892e+01,3.645999999999999935e-02
2.340000000000000000e+03,4.396999999999999886e+01,3.652999999999999997e-02
2.400000000000000000e+03,4.410199999999999676e+01,3.694000000000000061e-02
2.460000000000000000e+03,4.450300000000000011e+01,3.731000000000000288e-02
2.520000000000000000e+03,4.466299999999999670e+01,3.765999999999999903e-02
2.580000000000000000e+03,4.470100000000000051e+01,3.812000000000000111e-02
2.640000000000000000e+03,4.513799999999999812e+01,3.839999999999999664e-02
2.700000000000000000e+03,4.532300000000000040e+01,3.858000000000000318e-02
2.760000000000000000e+03,4.532399999999999807e+01,3.903000000000000219e-02
2.820000000000000000e+03,4.546200000000000330e+01,3.939999999999999752e-02
2.880000000000000000e+03,4.581799999999999784e+01,3.953999999999999876e-02
2.940000000000000000e+03,4.573899999999999721e+01,4.012999999999999901e-02
3.000000000000000000e+03,4.592999999999999972e+01,4.010999999999999982e-02
3.060000000000000000e+03,4.599900000000000233e+01,4.075999999999999762e-02
3.120000000000000000e+03,4.651200000000000045e+01,4.070000000000000007e-02
