time_s,radius_m,radius_cm
6.000000000000000000e+01,1.995766666666666869e-02,1.995766666666666911e+00
1.200000000000000000e+02,1.991533333333333350e-02,1.991533333333333378e+00
1.800000000000000000e+02,1.987300000000000177e-02,1.987300000000000288e+00
2.400000000000000000e+02,1.983066666666666658e-02,1.983066666666666755e+00
3.000000000000000000e+02,1.978833333333333486e-02,1.978833333333333444e+00
3.600000000000000000e+02,1.974599999999999966e-02,1.974599999999999911e+00
4.200000000000000000e+02,1.970366666666666794e-02,1.970366666666666822e+00
4.800000000000000000e+02,1.966133333333333275e-02,1.966133333333333288e+00
5.400000000000000000e+02,1.961900000000000102e-02,1.961900000000000199e+00
6.000000000000000000e+02,1.957666666666666583e-02,1.957666666666666666e+00
6.600000000000000000e+02,1.953433333333333410e-02,1.953433333333333355e+00
7.200000000000000000e+02,1.949199999999999891e-02,1.949199999999999822e+00
7.800000000000000000e+02,1.944966666666666719e-02,1.944966666666666733e+00
8.400000000000000000e+02,1.940733333333333199e-02,1.940733333333333199e+00
9.000000000000000000e+02,1.936500000000000027e-02,1.936500000000000110e+00
9.600000000000000000e+02,1.932266666666666854e-02,1.932266666666666799e+00
1.020000000000000000e+03,1.928033333333333335e-02,1.928033333333333266e+00
1.080000000000000000e+03,1.923800000000000163e-02,1.923800000000000177e+00
1.140000000000000000e+03,1.919566666666666643e-02,1.919566666666666643e+00
1.200000000000000000e+03,1.915333333333333471e-02,1.915333333333333554e+00
1.260000000000000000e+03,1.911099999999999952e-02,1.911100000000000021e+00
1.320000000000000000e+03,1.906866666666666779e-02,1.906866666666666710e+00
1.380000000000000000e+03,1.902633333333333260e-02,1.902633333333333177e+00
1.440000000000000000e+03,1.898400000000000087e-02,1.898400000000000087e+00
1.500000000000000000e+03,1.894166666666666568e-02,1.894166666666666554e+00
1.560000000000000000e+03,1.889933333333333396e-02,1.889933333333333465e+00
1.620000000000000000e+03,1.885699999999999876e-02,1.885699999999999932e+00
1.680000000000000000e+03,1.881466666666666704e-02,1.881466666666666621e+00
1.740000000000000000e+03,1.877233333333333531e-02,1.877233333333333531e+00
1.800000000000000000e+03,1.873000000000000012e-02,1.872999999999999998e+00
1.860000000000000000e+03,1.870366666666666705e-02,1.870366666666666733e+00
1.920000000000000000e+03,1.867733333333333398e-02,1.867733333333333468e+00
1.980000000000000000e+03,1.865100000000000091e-02,1.865099999999999980e+00
2.040000000000000000e+03,1.862466666666666784e-02,1.862466666666666715e+00
2.100000000000000000e+03,1.859833333333333477e-02,1.859833333333333449e+00
2.160000000000000000e+03,1.857200000000000170e-02,1.857200000000000184e+00
2.220000000000000000e+03,1.854566666666666863e-02,1.854566666666666919e+00
2.280000000000000000e+03,1.851933333333333209e-02,1.851933333333333209e+00
2.340000000000000000e+03,1.849299999999999902e-02,1.849299999999999944e+00
2.400000000000000000e+03,1.846666666666666595e-02,1.846666666666666679e+00
2.460000000000000000e+03,1.844033333333333288e-02,1.844033333333333191e+00
2.520000000000000000e+03,1.841399999999999981e-02,1.841399999999999926e+00
2.580000000000000000e+03,1.838766666666666674e-02,1.838766666666666660e+00
2.640000000000000000e+03,1.836133333333333367e-02,1.836133333333333395e+00
2.700000000000000000e+03,1.833500000000000060e-02,1.833500000000000130e+00
2.760000000000000000e+03,1.830866666666666753e-02,1.830866666666666642e+00
2.820000000000000000e+03,1.828233333333333446e-02,1.828233333333333377e+00
2.880000000000000000e+03,1.825600000000000139e-02,1.825600000000000112e+00
2.940000000000000000e+03,1.822966666666666832e-02,1.822966666666666846e+00
3.000000000000000000e+03,1.820333333333333525e-02,1.820333333333333581e+00
3.060000000000000000e+03,1.817700000000000218e-02,1.817700000000000315e+00
3.120000000000000000e+03,1.815066666666666911e-02,1.815066666666666828e+00
3.180000000000000000e+03,1.812433333333333257e-02,1.812433333333333341e+00
3.240000000000000000e+03,1.809799999999999950e-02,1.809799999999999853e+00
3.300000000000000000e+03,1.807166666666666643e-02,1.807166666666666588e+00
3.360000000000000000e+03,1.804533333333333336e-02,1.804533333333333323e+00
3.420000000000000000e+03,1.801900000000000029e-02,1.801900000000000057e+00
3.480000000000000000e+03,1.799266666666666722e-02,1.799266666666666792e+00
3.540000000000000000e+03,1.796633333333333415e-02,1.796633333333333304e+00
3.600000000000000000e+03,1.794000000000000108e-02,1.794000000000000039e+00
3.660000000000000000e+03,1.790966666666666748e-02,1.790966666666666818e+00
3.720000000000000000e+03,1.787933333333333388e-02,1.787933333333333374e+00
3.780000000000000000e+03,1.784900000000000028e-02,1.784899999999999931e+00
3.840000000000000000e+03,1.781866666666666668e-02,1.781866666666666710e+00
3.900000000000000000e+03,1.778833333333333308e-02,1.778833333333333266e+00
3.960000000000000000e+03,1.775799999999999948e-02,1.775800000000000045e+00
4.020000000000000000e+03,1.772766666666666588e-02,1.772766666666666602e+00
