time_s,radius_m
0.000000000000000000e+00,2.000000000000000042e-02
1.800000000000000000e+03,1.873000000000000012e-02
3.600000000000000000e+03,1.794000000000000108e-02
5.400000000000000000e+03,1.703000000000000000e-02
7.200000000000000000e+03,1.625000000000000056e-02
9.000000000000000000e+03,1.589000000000000135e-02
1.080000000000000000e+04,1.552000000000000081e-02
1.260000000000000000e+04,1.510000000000000057e-02
1.440000000000000000e+04,1.477000000000000188e-02
1.620000000000000000e+04,1.447000000000000022e-02
1.800000000000000000e+04,1.423999999999999919e-02
1.980000000000000000e+04,1.396999999999999978e-02
2.160000000000000000e+04,1.374000000000000221e-02
2.340000000000000000e+04,1.356000000000000087e-02
2.520000000000000000e+04,1.336999999999999994e-02
2.700000000000000000e+04,1.320999999999999952e-02
2.880000000000000000e+04,1.311000000000000013e-02
3.060000000000000000e+04,1.298999999999999981e-02
3.240000000000000000e+04,1.290999999999999960e-02
3.420000000000000000e+04,1.281000000000000021e-02
3.600000000000000000e+04,1.273000000000000000e-02
3.780000000000000000e+04,1.266000000000000111e-02
3.960000000000000000e+04,1.260000000000000009e-02
4.140000000000000000e+04,1.252999999999999947e-02
4.320000000000000000e+04,1.247999999999999977e-02
4.500000000000000000e+04,1.243999999999999967e-02
4.680000000000000000e+04,1.239999999999999956e-02
4.860000000000000000e+04,1.235999999999999946e-02
5.040000000000000000e+04,1.233000000000000068e-02
5.220000000000000000e+04,1.229000000000000058e-02
5.400000000000000000e+04,1.226000000000000006e-02
5.580000000000000000e+04,1.223000000000000129e-02
5.760000000000000000e+04,1.221000000000000037e-02
5.940000000000000000e+04,1.219000000000000118e-02
6.120000000000000000e+04,1.217999999999999985e-02
6.300000000000000000e+04,1.216000000000000067e-02
6.480000000000000000e+04,1.213999999999999975e-02
6.660000000000000000e+04,1.213000000000000189e-02
6.840000000000000000e+04,1.212000000000000056e-02
7.020000000000000000e+04,1.211000000000000097e-02
7.200000000000000000e+04,1.209999999999999964e-02
7.380000000000000000e+04,1.209000000000000179e-02
7.560000000000000000e+04,1.208000000000000046e-02
7.740000000000000000e+04,1.207000000000000087e-02
7.920000000000000000e+04,1.205999999999999954e-02
8.100000000000000000e+04,1.205999999999999954e-02
8.280000000000000000e+04,1.205000000000000168e-02
8.460000000000000000e+04,1.205000000000000168e-02
8.640000000000000000e+04,1.204000000000000035e-02
8.820000000000000000e+04,1.204000000000000035e-02
9.000000000000000000e+04,1.203000000000000076e-02
9.180000000000000000e+04,1.203000000000000076e-02
9.360000000000000000e+04,1.203000000000000076e-02
9.540000000000000000e+04,1.203000000000000076e-02
9.720000000000000000e+04,1.201999999999999943e-02
9.900000000000000000e+04,1.201999999999999943e-02
1.008000000000000000e+05,1.201999999999999943e-02
1.026000000000000000e+05,1.201999999999999943e-02
1.044000000000000000e+05,1.201999999999999943e-02
1.062000000000000000e+05,1.201000000000000158e-02
1.080000000000000000e+05,1.201000000000000158e-02
1.098000000000000000e+05,1.201000000000000158e-02
1.116000000000000000e+05,1.201000000000000158e-02
